Date : 2026-07-27 10:37:58
Directory : c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src
Total : 289 files,  60117 codes, 226 comments, 4791 blanks, all 65134 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |          2 |     43,896 |          0 |          0 |     43,896 |
| Java     |        255 |     14,165 |        127 |      4,296 |     18,588 |
| MS SQL   |         28 |      1,592 |         43 |        393 |      2,028 |
| PostCSS  |          1 |        342 |         56 |         74 |        472 |
| HTML     |          1 |         78 |          0 |         16 |         94 |
| YAML     |          2 |         44 |          0 |         12 |         56 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                        |        289 |     60,117 |        226 |      4,791 |     65,134 |
| main                                                                                                                                                                                                     |        289 |     60,117 |        226 |      4,791 |     65,134 |
| main\java                                                                                                                                                                                                |        255 |     14,165 |        127 |      4,296 |     18,588 |
| main\java\com                                                                                                                                                                                            |        255 |     14,165 |        127 |      4,296 |     18,588 |
| main\java\com\company                                                                                                                                                                                    |        255 |     14,165 |        127 |      4,296 |     18,588 |
| main\java\com\company\ConstructionContractorWorkflowToolkit                                                                                                                                              |        255 |     14,165 |        127 |      4,296 |     18,588 |
| main\java\com\company\ConstructionContractorWorkflowToolkit (Files)                                                                                                                                      |          1 |          9 |          0 |          3 |         12 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\audit                                                                                                                                        |         10 |        418 |          0 |        116 |        534 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\audit\controller                                                                                                                             |          2 |         89 |          0 |         19 |        108 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\audit\dto                                                                                                                                    |          2 |         35 |          0 |         16 |         51 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\audit\entity                                                                                                                                 |          2 |         79 |          0 |         28 |        107 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\audit\repository                                                                                                                             |          2 |         66 |          0 |         12 |         78 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\audit\service                                                                                                                                |          2 |        149 |          0 |         41 |        190 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\auth                                                                                                                                         |          6 |        125 |          1 |         33 |        159 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\auth\controller                                                                                                                              |          1 |         17 |          0 |          4 |         21 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\auth\dto                                                                                                                                     |          2 |         23 |          0 |          7 |         30 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\auth\security                                                                                                                                |          1 |         26 |          0 |          6 |         32 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\auth\service                                                                                                                                 |          2 |         59 |          1 |         16 |         76 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner                                                                                                                              |         38 |      1,795 |          1 |        550 |      2,346 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\controller                                                                                                                   |          1 |        127 |          0 |         40 |        167 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto                                                                                                                          |         16 |        405 |          0 |        140 |        545 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\entity                                                                                                                       |          6 |        294 |          0 |        116 |        410 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\enums                                                                                                                        |          7 |         48 |          0 |          7 |         55 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\mapper                                                                                                                       |          1 |        174 |          0 |         56 |        230 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\repository                                                                                                                   |          6 |         85 |          0 |         38 |        123 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\service                                                                                                                      |          1 |        662 |          1 |        153 |        816 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\common                                                                                                                                       |          8 |        170 |          0 |         52 |        222 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\common\dto                                                                                                                                   |          2 |         29 |          0 |          9 |         38 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\common\exception                                                                                                                             |          5 |         62 |          0 |         17 |         79 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\common\util                                                                                                                                  |          1 |         79 |          0 |         26 |        105 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\company                                                                                                                                      |          6 |        587 |          0 |        173 |        760 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\company\controller                                                                                                                           |          1 |         51 |          0 |         10 |         61 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\company\dto                                                                                                                                  |          2 |         48 |          0 |         12 |         60 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\company\entity                                                                                                                               |          1 |        113 |          0 |         43 |        156 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\company\repository                                                                                                                           |          1 |          8 |          0 |          4 |         12 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\company\service                                                                                                                              |          1 |        367 |          0 |        104 |        471 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\config                                                                                                                                       |          6 |        218 |          0 |         53 |        271 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate                                                                                                                                     |        123 |      8,548 |        120 |      2,620 |     11,288 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\controller                                                                                                                          |          4 |        370 |          0 |         92 |        462 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\dto                                                                                                                                 |         41 |        857 |          0 |        351 |      1,208 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\dto (Files)                                                                                                                         |         16 |        446 |          0 |        182 |        628 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\dto\dictionary                                                                                                                      |         19 |        326 |          0 |        140 |        466 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\dto\pdf                                                                                                                             |          6 |         85 |          0 |         29 |        114 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\entity                                                                                                                              |         15 |        815 |          0 |        321 |      1,136 |
